id,place,city,region,zip,type,verification_type,verification_number,sum_of_tickets_earned,count_of_projects_earning_tickets,years_tickets_earned,lat,lon,HouseMedianIncome,HouseMeanIncome,IncomeUnder25K
4363,The Children's Museum of Phoenix,Phoenix,Arizona,85034,nonprofit,ein,860934323,5,1,2018,33.43,-112.01,24454,34957,51.5
28852,Dress for Success Phoenix,Phoenix,Arizona,85034,nonprofit,ein,263610807,5,1,2018,33.43,-112.01,24454,34957,51.5
20547,Airborne & Special Operations Museum Foundation,fayetteville,North Carolina,28301,nonprofit,ein,561785731,20,1,2018,35.07,-78.88,24396,39837,51
26865,The Arts council of Fayetteville & Cumberland county,fayetteville,North Carolina,28301,nonprofit,ein,237411600,20,1,2018,35.07,-78.88,24396,39837,51
32138,The Capitol Encore Academy,Fayetteville,North Carolina,28301,School- Charter School Public,ncesSchoolId,370037003341,20,1,2018,35.07,-78.88,24396,39837,51
20341,"AHEPA 410 Scholarship Foundation, Inc.",Daytona Beach,Florida,32114,nonprofit,ein,260906721,10,1,2018,29.19,-81.05,24544,39840,50.9
30591,Madison Street Academy PTA,Ocala,Florida,34475,nonprofit,ein,900487256,20,1,2018,29.26,-82.17,24821,35059,50.5
31678,Madison Street Academy of Visual and Performing Arts,Ocala,Florida,34475,School- Public School,ncesSchoolId,120126001267,10,1,2018,29.26,-82.17,24821,35059,50.5
17429,Autism Support Team of Pulaski County,Somerset,Kentucky,42501,nonprofit,ein,811566109,5,1,2018,37.06,-84.45,24827,38920,50.3
26008,"The Ark Inc, DBA Ark Crisis Child Care Center",Evansville,Indiana,47713,nonprofit,ein,351553918,10,1,2018,37.95,-87.56,24947,38983,50
36397,Michigan Employment &Training Plus,Detroit,Michigan,48228,nonprofit,ein,471288388,10,1,2018,42.36,-83.22,25028,35261,50
22637,Community Counseling Center Foundation,Cape Girardeau,Missouri,63703,nonprofit,ein,431344414,20,1,2018,37.27,-89.54,24815,35694,50
15923,"SEMO Alliance for Disability Independence, Inc.",Cape Girardeau,Missouri,63703,nonprofit,ein,431645037,10,1,2018,37.27,-89.54,24815,35694,50
26706,West African Vocational Schools,Fresno,California,93721,nonprofit,ein,912028889,20,1,2018,36.73,-119.78,25056,40638,49.9
30445,Fresno/Madera Youth For Christ,Fresno,California,93721,nonprofit,ein,941691498,15,2,2018,36.73,-119.78,25056,40638,49.9
38113,Marjaree Mason Center,Fresno,California,93721,nonprofit,ein,941156639,10,1,2018,36.73,-119.78,25056,40638,49.9
26824,Children's Musical Theaterworks,Fresno,California,93721,nonprofit,ein,770289924,5,1,2018,36.73,-119.78,25056,40638,49.9
26600,The Family Conservancy,Kansas City,Kansas,66101,nonprofit,ein,440454800,5,1,2018,39.12,-94.63,25267,32728,49.7
12139,Second Harvest Food Bank of Central FL,Orlando,Florida,32805,nonprofit,ein,592142315,20,1,2018,28.53,-81.4,25361,38561,49.5
25100,Keep Evansville Beautiful,Evansville,Indiana,47708,nonprofit,ein,351449381,5,1,2018,37.97,-87.57,32727,98602,49.4
23679,S.A.Y. Detroit Play Center,Detroit,Michigan,48234,nonprofit,ein,204786626,20,1,2018,42.43,-83.04,25506,39248,49.2
35630,American Red Cross Stark and Muskingum Lakes Chapter,Canton,Ohio,44707,,ein,530196605,5,1,2018,40.76,-81.35,25673,36714,48.9
28948,San Pasqual Valley Elementary,Winterhaven,California,92283,School- Public School,ncesSchoolId,63507005930,15,2,2018,32.89,-114.77,27000,42245,48.8
16020,Mira Monte High School Pride foundation,Edison ,California,93220,nonprofit,ein,263152861,5,1,2018,35.4,-118.76,-,N,48.8
24553,Ed Smith School PTO,Syracuse,New York,13210,nonprofit,ein,161556020,20,1,2018,43.03,-76.13,27690,48461,48.7
16668,"Family Resource Center of South Florida, Inc.",Miami,Florida,33135,nonprofit,ein,591788265,20,2,2018,25.77,-80.24,25707,37898,48.4
28486,Celestial Tabernacle Baptist Church,Detroit,Michigan,48214,nonprofit,ein,382528996,10,1,2018,42.37,-82.99,26223,41028,48.4
24212,Lions Eye Institute for Transplant and Research,Tampa,Florida,33605,nonprofit,ein,10843838,20,1,2018,27.95,-82.43,26121,37995,48.2
26486,McGuffey Raiders PTA,Warren,Ohio,44485,nonprofit,ein,463917041,10,1,2018,41.24,-80.85,26824,35843,48.2
25557,YMCA of Greater Flint,Flint,Michigan,48503,nonprofit,ein,381358056,10,1,2018,43,-83.71,26178,42346,48.2
26484,N.O.E. Mentor Program For Youth,New Orleans,Louisiana,70127,nonprofit,ein,823289895,20,1,2018,30.02,-89.98,26113,39846,48.2
25448,Generation Success,NEW ORLEANS,Louisiana,70127,nonprofit,ein,821071284,5,1,2018,30.02,-89.98,26113,39846,48.2
36193,Girl Scouts of Southeastern Michigan,Detroit,Michigan,48207,nonprofit,ein,381598947,20,1,2018,42.35,-83.02,26380,40247,48
29624,NJCDC,Paterson,New Jersey,7501,nonprofit,ein,223282526,20,2,2018,40.91,-74.17,26691,41093,47.8
28519,Beacon Lighthouse Inc,Wichita Falls,Texas,76301,nonprofit,ein,237395720,5,1,2018,33.91,-98.48,26659,37617,47.4
29968,YMCA of the Inland Northwest,SPOKANE,Washington,99201,nonprofit,ein,910827958,10,1,2018,47.66,-117.44,26685,39870,47.3
35014,The Isaac Foundation,Spokane,Washington,99201,nonprofit,ein,392061069,10,1,2018,47.66,-117.44,26685,39870,47.3
30791,National Veterans Homeless Support,Cocoa,Florida,32922,nonprofit,ein,352330290,10,1,2018,28.37,-80.74,27201,47516,47.2
24076,North Texas Majestic Daughters Empowerment,Dallas,Texas,75237,nonprofit,ein,824429894,5,1,2018,32.67,-96.87,26768,32160,47.2
32528,Miami Lighthouse for the Blind,Miami,Florida,33130,nonprofit,ein,590637847,5,1,2018,25.77,-80.2,27033,48140,47.1
14345,Second Harvest Food Bank of Metrolina,Charlotte,North Carolina,28206,nonprofit,ein,561352593,20,4,"2018,2019",35.26,-80.82,28528,36454,46.4
20460,Mesilla Valley Habitat For Humanity,Las Cruces,New Mexico,88001,nonprofit,ein,850357525,10,2,2018,32.29,-106.75,28372,41469,46.2
35616,Virginia Zoo,Norfolk,Virginia,23504,nonprofit,ein,510253147,20,1,2018,36.86,-76.27,28893,44614,46.1
30778,Teens With a Purpose,Norfolk,Virginia,23504,nonprofit,ein,331207585,10,1,2018,36.86,-76.27,28893,44614,46.1
22953,yhuns help after,chicago,Illinois,60644,nonprofit,ein,823033319,10,1,2018,41.88,-87.76,27617,41174,46.1
21422,Appalachian Artisan Center,Hindman,Kentucky,41822,nonprofit,ein,611369294,20,1,2018,37.33,-82.98,29345,39171,46
22146,Hindman Settlement School,Hindman,Kentucky,41822,nonprofit,ein,610447248,20,1,2018,37.33,-82.98,29345,39171,46
26294,Flickers,Providence,Rhode Island,2903,nonprofit,ein,50399728,20,1,2018,41.82,-71.41,30711,70167,45.9
13192,Furniture Bank of Metro Atlanta,Atlanta,Georgia,30310,nonprofit,ein,581815194,5,1,2019,33.73,-84.43,28333,44192,45.6
21642,Supportive Housing Coalition of New Mexico,Albuquerque,New Mexico,87102,nonprofit,ein,850439315,5,1,2018,35.08,-106.65,28818,40153,45.5
22115,Reno-Tahoe Open Foundation,RENO,Nevada,89501,nonprofit,ein,880412314,20,1,2018,39.53,-119.81,28229,62064,45.4
34349,Cornerstone Co-op Preschool,Denton,Texas,76201,nonprofit,ein,751326536,10,1,2018,33.22,-97.15,27232,39001,45.2
21078,Dobbins Elementary School,Dobbins,California,95935,School- Public School,ein,271440991,5,1,2018,39.38,-121.19,-,60534,45.1
17528,Seton High School,Cincinnati,Ohio,45205,School- Private School,ein,311467118,20,1,2018,39.11,-84.58,28973,37732,44.9
19068,Unionville Elementary School,Bloomington,Indiana,47408,School- Public School,ncesSchoolId,180063000136,30,2,"2017,2018",39.23,-86.47,29981,54295,44.9
22991,Marlin Elementary School PTO,Bloomington,Indiana,47408,nonprofit,ein,351841647,20,1,2018,39.23,-86.47,29981,54295,44.9
27008,Kiwanis of Tattnall County,Reidsville,Georgia,30453,nonprofit,ein,474890803,15,2,2018,32.01,-82.12,27243,41891,44.6
28608,Treasure Coast Food Bank,Fort Pierce,Florida,34947,nonprofit,ein,650123281,20,1,2018,27.45,-80.37,28262,36436,44.6
13974,Public School 188,Brooklyn,New York,11224,School- Public School,ncesSchoolId,360015202645,5,1,2018,40.58,-73.99,31630,53095,44.3
21385,greeNest,Winston-Salem,North Carolina,27101,nonprofit,ein,472087001,10,1,2018,36.11,-80.2,29795,51296,44.3
28686,Huntington's Disease Society Of America - North Carolina Chapter,Winston-Salem,North Carolina,27101,nonprofit,ein,133349872,5,1,2018,36.11,-80.2,29795,51296,44.3
28399,"University Area Community Development Corporation, Inc.",Tampa,Florida,33613,nonprofit,ein,311624121,5,1,2018,28.08,-82.45,29695,49971,44
19903,Jackson County High School Advanced Choir,Gainesboro,Tennessee,38562,School- Public School,ncesSchoolId,470207000661,10,2,"2018,2019",36.35,-85.66,32928,39447,43.8
29136,CommuniCare Health Center,SAN ANTONIO,Texas,78220,nonprofit,ein,741724391,10,1,2018,29.42,-98.39,28633,41318,43.6
25071,St. Augustine Manor dba St. Augustine Health Ministries,Cleveland,Ohio,44102,nonprofit,ein,341040692,20,1,2018,41.48,-81.74,29909,44372,43.5
14359,The Edna House,Cleveland,Ohio,44102,nonprofit,ein,141912872,10,1,2018,41.48,-81.74,29909,44372,43.5
30730,Barbour County Emergency Squad Inc.,PHILIPPI,West Virginia,26416,nonprofit,ein,550686269,5,1,2018,39.16,-80.02,31700,50983,43.3
17492,Friends of Baseball,Portland,Oregon,97205,nonprofit,ein,203888216,5,1,2018,45.52,-122.71,32276,61537,43.2
38124,Khalsa Montessori School,Phoenix,Arizona,85004,nonprofit,ein,731646715,10,1,2018,33.45,-112.07,33862,67493,42.9
15979,Live and Learn Program,Phoenix,Arizona,85004,nonprofit,ein,472086218,5,1,2018,33.45,-112.07,33862,67493,42.9
19359,SOUNDS Academy,Phoenix,Arizona,85004,nonprofit,ein,463932746,5,1,2018,33.45,-112.07,33862,67493,42.9
30754,Ronald McDonald House Charities Baltimore,Baltimore,Maryland,21201,nonprofit,ein,521184957,20,1,2018,39.29,-76.62,33877,52711,42.7
32084,Society of Government Meeting Professionals,Sacramento,California,95814,nonprofit,ein,680223024,5,1,2018,38.58,-121.5,34017,58334,42.3
16875,The Bridge Avenue School,Cleveland,Ohio,44109,nonprofit,ein,201904717,10,1,2018,41.45,-81.69,30464,42881,42.1
25347,Jacob Harasyn Feichtner Fund,Cleveland,Ohio,44109,nonprofit,ein,473229537,10,1,2018,41.45,-81.69,30464,42881,42.1
26918,LETS HELP THE CHILDREN OF TOMORROW,LORIS,South Carolina,29569,nonprofit,ein,800676202,20,3,2018,34.03,-78.91,35256,47002,41.9
33019,Selmer Elementary,Michie,Tennessee,38357,School- Public School,ncesSchoolId,470288001003,20,1,2018,35.04,-88.42,32065,53077,41.9
13435,Marist Catholic High School,Eugene,Oregon,97401,nonprofit,ein,931189917,20,1,2018,44.07,-123.08,34377,56813,41.9
26773,CAFA,Eugene,Oregon,97401,nonprofit,ein,911787129,10,1,2018,44.07,-123.08,34377,56813,41.9
33333,Graham Ballet Theater,Pullman,Washington,99163,nonprofit,ein,201545856,5,1,2018,46.73,-117.22,32721,54073,41.8
27242,Love Me to Life,Birmingham,Alabama,35211,nonprofit,ein,814304520,5,1,2018,33.46,-86.86,30941,41819,41.7
16330,Arcola Elementary Parent Teacher Organization,Arcola,Indiana,46704,nonprofit,ein,460932903,10,1,2019,41.1,-85.29,-,N,41.7
38726,SS Simon & Jude Cathedral School,Phoenix,Arizona,85017,School- Private School,ein,943457074,5,1,2019,33.51,-112.12,29758,38703,41.7
12931,Tempe Community Action Agency,Tempe,Arizona,85281,nonprofit,ein,860254820,20,2,2018,33.43,-111.93,32300,47112,41.7
34322,Love is in the Bag,Tempe,Arizona,85281,nonprofit,ein,831178410,10,1,2018,33.43,-111.93,32300,47112,41.7
8697,St. Francis Center,Los Angeles,California,90015,nonprofit,ein,954479271,10,2,2018,34.04,-118.27,32979,71678,41.6
15369,Children's Synergistic Learning Collaborative,Salt Lake City,Utah,84111,nonprofit,ein,472255002,20,1,2018,40.76,-111.88,31169,51122,41.4
16261,St. John's CCDC,Salt Lake City,Utah,84111,nonprofit,ein,870224273,5,1,2018,40.76,-111.88,31169,51122,41.4
14297,Steele Children's Research Center at University of Arizona,Tucson,Arizona,85719,nonprofit,ein,866050388,20,1,2018,32.25,-110.95,31617,47880,41.3
31010,Experimental Schools Corporation of Arizona,Tucson,Arizona,85719,nonprofit,ein,237073620,10,1,2018,32.25,-110.95,31617,47880,41.3
15739,Happy Trails School,Tucson,Arizona,85719,nonprofit,ein,384027584,5,1,2018,32.25,-110.95,31617,47880,41.3
20694,International School at Gregory PTA,Wilmington,North Carolina,28401,nonprofit,ein,510200125,20,1,2018,34.27,-77.96,31138,44272,41
31693,Heavenly Host Lutheran School,Cookeville,Tennessee,38501,School- Private School,ein,237042058,20,1,2018,36.23,-85.53,32202,49162,41
16142,Portage Middle School,Fort Wayne,Indiana,46802,School- Public School,ncesSchoolId,180363000555,20,4,2018,41.07,-85.17,31340,40839,41
23023,Three Rivers Music Theatre,Fort Wayne,Indiana,46802,nonprofit,ein,474992836,10,1,2018,41.07,-85.17,31340,40839,41
34555,BOOTH STUDENT COUNCIL,Enfield,Illinois,62835,School- Public School,ncesSchoolId,170000405125,5,1,2018,38.11,-88.32,31500,48380,41
31470,Coalition for Humane Immigrant Rights,Los Angeles,California,90057,nonprofit,ein,954421521,10,2,2018,34.06,-118.28,31337,41223,41
26389,Homer A. Plessy Community School,New Orleans,Louisiana,70116,nonprofit,ein,455124690,20,1,2018,29.97,-90.06,33224,69356,40.9
20552,Ronald Mcdonald House Charities Columbia Sc,Columbia,South Carolina,29203,nonprofit,ein,570725736,5,1,2018,34.1,-81.04,30514,42791,40.8
23626,Dream Center of Lakeland,Lakeland,Florida,33805,nonprofit,ein,10686634,20,1,2018,28.1,-81.91,32706,43879,40.8
35441,Las Vegas Rescue mission,Las Vegas,Nevada,89106,nonprofit,ein,237222330,5,1,2019,36.18,-115.16,31421,44867,40.8
12335,United Way of Rhode Island,Providence,Rhode Island,2909,nonprofit,ein,50276059,20,3,2018,41.82,-71.45,33661,45754,40.7
37477,"PS 184M SHUANG WEN SCHOOL PARENT ASSOCIATION, INC.",New York,New York,10002,nonprofit,ein,815283837,5,1,2018,40.72,-73.99,35449,65718,40.7
30222,Xtraordinary Joy,Gainesville,Florida,32609,nonprofit,ein,812755734,10,1,2018,29.77,-82.28,31357,42873,40.7
15318,Hartsville Home Educators,Darlington,South Carolina,29540,nonprofit,ein,263047824,20,4,2018,34.38,-79.85,33531,44197,40.6
34828,Ligon Arts Boosters,Raleigh,North Carolina,27601,nonprofit,ein,581598114,20,1,2018,35.77,-78.63,32266,63175,40.5
15356,Ligon Magnet Middle School,Raleigh,North Carolina,27601,School- Public School,ncesSchoolId,370472001872,5,1,2018,35.77,-78.63,32266,63175,40.5
33796,Helen Ross McNabb Center,Knoxville,Tennessee,37917,nonprofit,ein,237213935,10,1,2018,36,-83.91,31466,44619,40.5
17619,Tampa Bay American Association of Zoo Keepers,Tampa,Florida,33612,nonprofit,ein,562533082,5,1,2018,28.05,-82.45,31101,43396,40.4
22297,Special Spotlight Theatre,Melbourne,Florida,32901,nonprofit,ein,592671794,5,1,2018,28.08,-80.62,34437,46224,40.3
35269,First Academy,Douglas,Georgia,31533,nonprofit,ein,580655357,10,1,2018,31.56,-82.83,35590,48377,40.2
26685,Campbell County Children's Center,LaFollette,Tennessee,37766,nonprofit,ein,113820921,10,2,2018,36.4,-84.08,33005,48425,40.2
26719,Lima Memorial Foundation,Lima,Ohio,45804,nonprofit,ein,341883284,10,1,2018,40.71,-84.06,32115,40943,40.2
34453,Dolores Mission School,Los Angeles,California,90033,School- Private School,ein,952305590,10,1,2018,34.05,-118.21,31683,43562,40.2
28652,Central County United Way,Hemet,California,92543,nonprofit,ein,956006645,30,3,"2018,2019",33.67,-116.96,31447,41533,40.2
34387,The Salvation Army Hemet Corps and Community Center,Hemet,California,92543,nonprofit,ein,941156347,20,2,2018,33.67,-116.96,31447,41533,40.2
21800,SEBRING HIGH SCHOOL,sebring,Florida,33870,School- Public School,ncesSchoolId,120084000905,5,1,2018,27.51,-81.41,30268,46022,40.1
32811,Spokane International Academy,Spokane,Washington,99202,School- Charter School Public,ncesSchoolId,530033703539,20,1,2018,47.66,-117.38,34240,47803,40
26248,Terry's Foundation for Muscular Dystrophy,Boston,Massachusetts,2111,nonprofit,ein,822473513,5,1,2018,42.35,-71.06,39329,112325,39.9
38280,GiGi's Playhouse El Paso,El Paso,Texas,79903,nonprofit,ein,352523225,5,1,2019,31.79,-106.44,30534,40208,39.9
15878,Klickitat Dragon Vandals PTO,Klickitat,Washington,98628,nonprofit,ein,161741674,5,1,2018,45.83,-121.18,33625,42985,39.9
11798,the Parenting PATH,Winston-Salem,North Carolina,27105,nonprofit,ein,581443692,5,1,2018,36.16,-80.23,32182,43345,39.8
22126,St Louis Feral Cat Outreach,St Louis,Missouri,63118,nonprofit,ein,364754978,20,2,2018,38.59,-90.23,32851,48725,39.8
27820,friends of camp sacramento,Sacramento,California,95824,nonprofit,ein,680234330,20,2,2018,38.52,-121.44,31888,43131,39.8
17363,Hemophilia of South Carolina,Greenville,South Carolina,29321,nonprofit,ein,237400632,5,1,2018,34.71,-81.74,35481,41783,39.7
19176,St. Nicholas Center for Children,Lake Charles,Louisiana,70601,nonprofit,ein,260566851,5,1,2018,30.23,-93.22,31773,46690,39.7
21106,BeanStalk Community Theatre,Boone,North Carolina,28607,nonprofit,ein,461242133,20,1,2018,36.22,-81.65,36508,59013,39.6
28513,"Junior Auxiliary of West Point, MS",West Point,Mississippi,39773,nonprofit,ein,640682175,10,1,2018,33.65,-88.69,32788,49495,39.6
25510,Positive Directions Youth Center,Dawson,Georgia,39842,nonprofit,ein,311789559,20,1,2018,31.76,-84.44,31977,45305,39.6
21045,Bakersfield College Child Development Center,Bakersfield,California,93305,School- College,ein,510151490,20,1,2018,35.39,-118.99,31608,42456,39.6
26383,Bakersfield Homeless Center,Bakersfield,California,93305,nonprofit,ein,952858936,10,1,2018,35.39,-118.99,31608,42456,39.6
25660,Bakersfield LGBTQ,Bakersfield,California,93305,nonprofit,ein,542164208,5,1,2018,35.39,-118.99,31608,42456,39.6
30779,Community Matters Cincinnati Inc.,Cincinnati,Ohio,45204,nonprofit,ein,471191643,5,1,2018,39.11,-84.55,32936,43123,39.5
16051,Junior Company Foundation,Fresno,California,93728,nonprofit,ein,942243654,20,3,2018,36.76,-119.82,34887,48911,39.5
37665,Bandon Project Graduation,Bandon,Oregon,97411,nonprofit,ein,931329923,5,1,2019,43.08,-124.36,35181,49679,39.5
30112,Homes for the Brave,Bridgeport,Connecticut,6604,nonprofit,ein,61520511,10,2,2018,41.18,-73.21,35934,55750,39.4
17785,New Beginnings Ministries,Port Arthur,Texas,77640,nonprofit,ein,800168547,20,2,2018,29.88,-93.94,33114,46681,39.4
26329,Downtown Magnets High School College Center,Los Angeles,California,90012,School- Public School,ncesSchoolId,62271007757,10,1,2018,34.07,-118.24,38786,61644,39.4
32163,William H. Parker Los Angeles Police Foundation,Los Angeles,California,90012,nonprofit,ein,952567889,5,1,2018,34.07,-118.24,38786,61644,39.4
20175,Christian Community Development DBA House of Hope,Waterloo,Iowa,50703,nonprofit,ein,421397528,20,1,2018,42.55,-92.29,32429,44026,39.3
14638,German Immersion Foundation (GIF),Milwaukee,Wisconsin,53210,nonprofit,ein,392023078,20,1,2018,43.07,-87.97,34516,47018,39.2
15821,Life Navigators,Wauwatosa,Wisconsin,53210,nonprofit,ein,390978146,5,1,2018,43.07,-87.97,34516,47018,39.2
23625,The First Tee of Canton,Canton,Ohio,44705,nonprofit,ein,341912799,10,1,2018,40.83,-81.33,32822,44607,39.1
15124,Indianapolis Shakespeare Company,Indianapolis,Indiana,46208,nonprofit,ein,562609331,15,3,2018,39.82,-86.17,34147,63791,39
34643,Parkersburg Academy,Parkersburg,West Virginia,26101,School- Private School,ein,320284752,20,1,2018,39.24,-81.58,34160,48437,38.7
24501,St. Mary on the Hill PTO,Augusta,Georgia,30904,nonprofit,ein,580962917,20,1,2018,33.48,-82.01,35594,52676,38.7
22895,Satori,Galveston,Texas,77550,School- Private School,ein,742179681,20,4,"2018,2019",29.31,-94.78,35305,53927,38.7
28138,Gulf Coast Big Brothers Big Sisters,Galveston,Texas,77550,nonprofit,ein,510163281,10,1,2018,29.31,-94.78,35305,53927,38.7
36055,Bronx High School of Science,Bronx,New York,10468,nonprofit,ein,136127163,10,1,2018,40.87,-73.9,35398,47257,38.6
19015,Greensboro Children's Museum,Greensboro,North Carolina,27401,nonprofit,ein,561959695,10,2,2018,36.07,-79.77,31191,46857,38.6
29475,Carolina Adoption Services,Greensboro,North Carolina,27401,nonprofit,ein,561839309,5,1,2018,36.07,-79.77,31191,46857,38.6
17328,Charleston Development Academy Public Charter School,Charleston,South Carolina,29403,School- Charter School Public,ncesSchoolId,450144000838,5,1,2018,32.81,-79.94,38414,63295,38.6
27948,The Camp Grace,Roberta,Georgia,31078,nonprofit,ein,20652284,20,1,2018,32.69,-84.08,34911,47884,38.6
37233,Ronald McDonald House Charities Mid-Missouri,Columbia,Missouri,65201,nonprofit,ein,431225829,10,2,2018,38.9,-92.24,35396,54703,38.6
27968,Shepard Parent Teacher Student Organization,Columbia,Missouri,65201,nonprofit,ein,452815116,5,1,2018,38.9,-92.24,35396,54703,38.6
26047,"Be Finally Free, Inc",Bakersfield,California,93301,nonprofit,ein,272564485,20,2,2018,35.38,-119.02,35561,50541,38.6
17157,The Education Foundation of Alachua County,Gainesville,Florida,32641,nonprofit,ein,592751952,20,1,2018,29.64,-82.23,33254,41812,38.5
35307,Ronald McDonald House Charities of Arkansas,Little Rock,Arkansas,72202,nonprofit,ein,710525252,20,1,2018,34.74,-92.3,37113,64007,38.4
24286,Lighthouse Community Public Schools,Oakland,California,94621,nonprofit,ein,943370410,10,1,2018,37.75,-122.22,34566,48581,38.4
16256,St. Joachim School,Cadet,Missouri,63630,nonprofit,ein,430707371,10,1,2018,38.03,-90.72,29481,40547,38.3
